Timestamp,Dorm_ID,Room_ID,Room_Size_m2,Room_Size_Cat,Num_Occupants,Hour,Day,Month,IsWeekend,TimeOfDay,Dorm_Enc,Room_Enc,RoomSize_Enc,App_Electric_Fan,App_Air_Conditioner,App_Laptop_PC,App_Refrigerator,App_TV_Monitor,App_Phone_Charger,App_Electric_Kettle,App_Rice_Cooker,App_Study_Lamp,App_Electric_Fan_W,App_Air_Conditioner_W,App_Laptop_PC_W,App_Refrigerator_W,App_TV_Monitor_W,App_Phone_Charger_W,App_Electric_Kettle_W,App_Rice_Cooker_W,App_Study_Lamp_W,Total_Active_Wattage,Num_Active_Appliances,Has_High_Power_Appliance,Electricity_Consumed,Avg_Past_Consumption,Anomaly_Label,Data_Source,Location,Utility_Provider
2024-01-01 00:00:00,Dorm A,Room 7,25,Medium,3,0,1,1,0,0,0,6,1,1,0,1,0,0,1,0,0,0,40,0,73,0,0,21,0,0,0,134,3,0,0.058061,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 01:00:00,Dorm A,Room 3,17,Medium,2,1,1,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,32,0,0,138,0,0,0,0,0,170,2,0,0.036276,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 03:00:00,Dorm B,Room 1,14,Small,4,3,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,34,1363,0,126,0,18,0,0,0,1541,4,1,0.274515,0.1476,Abnormal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 03:30:00,Dorm C,Room 4,13,Small,2,3,1,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,122,0,0,0,0,0,122,1,0,0.045418,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 04:00:00,Dorm C,Room 8,20,Medium,1,4,1,1,0,0,2,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,22,1,0,0.022684,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 06:00:00,Dorm B,Room 6,24,Medium,2,6,1,1,0,1,1,5,1,1,0,0,1,0,0,0,0,0,30,0,0,134,0,0,0,0,0,164,2,0,0.108198,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 06:00:00,Dorm C,Room 7,21,Medium,2,6,1,1,0,1,2,6,1,1,0,0,1,0,0,0,0,0,33,0,0,124,0,0,0,0,0,157,2,0,0.070429,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 06:30:00,Dorm B,Room 2,14,Small,2,6,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1111,0,0,0,0,1476,0,0,2587,2,1,0.311143,0.1476,Abnormal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 07:30:00,Dorm B,Room 1,14,Small,4,7,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,34,0,0,135,0,0,0,0,0,169,2,0,0.116448,0.2745,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 07:30:00,Dorm B,Room 2,14,Small,2,7,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,33,0,0,119,0,0,0,0,0,152,2,0,0.058163,0.3111,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 08:00:00,Dorm A,Room 6,32,Large,3,8,1,1,0,1,0,5,2,0,0,0,1,0,0,0,0,1,0,0,0,133,0,0,0,0,10,143,2,0,0.141735,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 09:00:00,Dorm A,Room 7,25,Medium,3,9,1,1,0,1,0,6,1,1,0,1,1,0,0,0,0,0,34,0,62,111,0,0,0,0,0,207,3,0,0.101349,0.0581,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 09:30:00,Dorm C,Room 3,22,Medium,2,9,1,1,0,1,2,2,1,1,0,0,1,1,1,0,0,1,31,0,0,120,41,22,0,0,8,222,5,0,0.079796,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 09:30:00,Dorm B,Room 3,12,Small,1,9,1,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,74,128,0,0,0,0,0,202,2,0,0.059643,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 09:30:00,Dorm B,Room 8,20,Medium,3,9,1,1,0,1,1,7,1,1,0,1,1,0,0,0,0,0,30,0,72,136,0,0,0,0,0,238,3,0,0.090759,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 10:30:00,Dorm B,Room 7,14,Small,3,10,1,1,0,1,1,6,0,0,0,1,1,0,0,1,1,1,0,0,62,127,0,0,1310,456,8,1963,5,1,0.376355,0.1476,Abnormal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 10:30:00,Dorm C,Room 8,20,Medium,1,10,1,1,0,1,2,7,1,0,0,0,1,0,0,0,0,0,0,0,0,124,0,0,0,0,0,124,1,0,0.072378,0.0227,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 11:00:00,Dorm C,Room 1,21,Medium,1,11,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,121,0,0,0,0,0,121,1,0,0.062457,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 11:30:00,Dorm B,Room 4,25,Medium,3,11,1,1,0,1,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,114,44,0,0,0,0,158,2,0,0.086296,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 11:30:00,Dorm A,Room 3,17,Medium,2,11,1,1,0,1,0,2,1,1,0,1,1,0,0,1,0,1,37,0,69,125,0,0,1651,0,8,1890,5,1,0.364167,0.0363,Abnormal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 11:30:00,Dorm C,Room 7,21,Medium,2,11,1,1,0,1,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1429,0,0,1429,1,1,0.264034,0.0704,Abnormal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 12:30:00,Dorm B,Room 5,19,Medium,3,12,1,1,0,2,1,4,1,1,1,1,1,0,0,1,0,0,37,1366,63,138,0,0,1612,0,0,3216,5,1,0.507608,0.1476,Abnormal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 13:00:00,Dorm A,Room 4,32,Large,3,13,1,1,0,2,0,3,2,1,1,0,1,0,0,1,0,0,37,1137,0,133,0,0,1440,0,0,2747,4,1,0.482701,0.1476,Abnormal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 13:30:00,Dorm C,Room 2,22,Medium,2,13,1,1,0,2,2,1,1,1,0,1,1,1,0,0,0,0,34,0,59,130,43,0,0,0,0,266,4,0,0.107982,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 13:30:00,Dorm C,Room 5,11,Small,1,13,1,1,0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,0,0,0,41,1,0,0.027273,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 15:00:00,Dorm A,Room 8,15,Small,1,15,1,1,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0,0,34,1,0,0.038121,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 15:00:00,Dorm A,Room 5,18,Medium,1,15,1,1,0,2,0,4,1,1,0,0,1,0,0,0,0,0,36,0,0,136,0,0,0,0,0,172,2,0,0.075031,0.1476,Normal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
2024-01-01 15:30:00,Dorm B,Room 5,19,Medium,3,15,1,1,0,2,1,4,1,1,0,0,1,0,1,1,0,0,37,0,0,120,0,19,1614,0,0,1790,4,1,0.343401,0.5076,Abnormal,ZAMCELCO Smart Meter,Zamboanga City,ZAMCELCO
